date,PM10,PM2.5,O3,NO,NO2,NOx,SO2,CO,PRS,RH,TOUT,SR,WSR,WDR,RAINF
2018-01-01,16.708333333333332,7.833333333333333,10.5,20.170833333333334,6.7749999999999995,26.604166666666668,5.599999999999999,0.92,725.3583333333332,90.70833333333333,2.910833333333333,0.022583333333333334,11.775,51.291666666666664,0.00125
2018-01-02,31.333333333333332,13.708333333333334,7.375,42.75416666666666,17.204166666666666,59.0375,5.599999999999999,0.92,723.2416666666667,95.54166666666667,0.85875,0.016416666666666666,6.308333333333334,75.25,0.0016666666666666668
2018-01-03,60.583333333333336,16.666666666666668,10.916666666666666,62.72083333333333,22.8625,84.79583333333333,5.599999999999999,0.92,723.7624999999999,73.375,4.81,0.109875,6.875,71.125,0.0
2018-01-04,87.58333333333333,29.5,16.083333333333332,60.9625,26.304166666666664,86.03333333333335,5.599999999999999,0.92,720.4625,55.125,8.8175,0.14408333333333334,6.054166666666667,173.75,0.0
2018-01-05,82.08333333333333,29.208333333333332,16.333333333333332,36.108333333333334,29.508333333333336,65.39999999999999,5.599999999999999,0.92,720.2333333333332,65.08333333333333,11.551666666666668,0.1175,5.758333333333333,95.20833333333333,0.0
2018-01-06,112.33333333333333,45.208333333333336,14.291666666666666,59.19583333333333,37.729166666666664,96.96249999999999,5.599999999999999,0.92,718.9208333333332,66.16666666666667,14.240416666666667,0.132875,5.741666666666667,167.5,0.0
2018-01-07,111.16666666666667,57.25,14.25,44.68333333333334,34.00833333333333,78.67083333333333,5.599999999999999,0.92,714.1125000000001,75.83333333333333,16.502916666666668,0.11033333333333334,4.704166666666667,164.875,0.0
2018-01-08,94.54166666666667,28.0,14.041666666666666,47.0625,28.5125,74.68333333333332,5.599999999999999,0.92,717.0416666666666,47.291666666666664,18.52125,0.15083333333333335,6.708333333333333,100.04166666666667,0.0
2018-01-09,112.70833333333333,26.541666666666668,14.375,50.69583333333333,28.40833333333333,77.97083333333333,5.599999999999999,0.92,715.7624999999999,48.208333333333336,16.689583333333335,0.13295833333333332,4.441666666666666,170.5,0.0
2018-01-10,141.08333333333334,38.083333333333336,19.041666666666668,38.012499999999996,34.8875,72.09583333333333,5.599999999999999,0.92,709.6875,49.708333333333336,17.86625,0.15095833333333333,4.1499999999999995,175.33333333333334,0.0
2018-01-11,150.91666666666666,34.041666666666664,19.041666666666668,12.424999999999999,21.416666666666668,32.97083333333333,5.599999999999999,0.92,710.2708333333334,44.583333333333336,19.993750000000002,0.14441666666666667,9.729166666666666,125.08333333333333,0.0
2018-01-12,68.25,13.833333333333334,27.75,4.0,12.179166666666667,16.070833333333333,5.599999999999999,0.92,719.7375000000001,31.083333333333332,14.116666666666667,0.14716666666666667,8.504166666666666,87.58333333333333,0.0
2018-01-13,52.583333333333336,14.791666666666666,24.208333333333332,18.845833333333335,17.629166666666666,35.92916666666667,5.599999999999999,0.92,723.3833333333333,39.208333333333336,11.84375,0.152,7.933333333333334,100.79166666666667,0.0
2018-01-14,51.75,20.791666666666668,21.666666666666668,7.658333333333334,11.679166666666667,18.712500000000002,5.599999999999999,0.92,722.7041666666668,68.75,11.255,0.09858333333333334,6.1875,88.20833333333333,0.0
2018-01-15,77.79166666666667,24.958333333333332,15.083333333333334,24.5,16.791666666666668,41.233333333333334,5.599999999999999,0.92,718.5083333333333,67.25,14.6925,0.14154166666666665,5.2,142.08333333333334,0.0
2018-01-16,57.375,14.833333333333334,13.708333333333334,24.925,14.054166666666667,38.770833333333336,5.599999999999999,0.92,724.4041666666667,82.20833333333333,6.138333333333333,0.014791666666666667,12.262500000000001,56.25,0.0
2018-01-17,42.916666666666664,15.666666666666666,19.708333333333332,29.05416666666667,14.737499999999999,43.89166666666667,5.599999999999999,0.92,727.5166666666668,82.54166666666667,0.13958333333333334,0.04125,7.841666666666666,79.75,0.0
2018-01-18,69.54166666666667,31.083333333333332,14.375,42.225,24.883333333333336,66.85416666666667,5.599999999999999,0.92,723.0041666666666,83.20833333333333,2.9316666666666666,0.04720833333333333,4.904166666666667,82.625,0.0
2018-01-19,104.54166666666667,49.833333333333336,11.125,103.2375,47.14166666666667,150.57500000000002,5.599999999999999,0.92,717.2375000000001,76.45833333333333,10.535833333333334,0.14245833333333333,4.729166666666667,124.33333333333333,0.0
2018-01-20,114.66666666666667,48.958333333333336,19.916666666666668,68.00833333333334,30.787499999999998,98.59583333333335,5.599999999999999,0.92,713.4125,66.04166666666667,15.622083333333334,0.1485,5.341666666666666,150.91666666666666,0.0
2018-01-21,76.66666666666667,45.333333333333336,17.541666666666668,39.291666666666664,27.09583333333333,66.19166666666666,5.599999999999999,0.92,710.7166666666667,67.29166666666667,19.19875,0.12008333333333333,4.679166666666666,136.75,0.0
2018-01-22,99.70833333333333,31.916666666666668,11.75,98.60000000000001,42.641666666666666,141.39166666666668,5.599999999999999,0.92,715.0,45.833333333333336,16.87375,0.08537499999999999,7.558333333333334,97.20833333333333,0.0
2018-01-23,65.91666666666667,14.416666666666666,18.041666666666668,82.12916666666666,39.608333333333334,121.78750000000001,5.599999999999999,0.92,718.7541666666666,37.416666666666664,13.271666666666667,0.10425,7.545833333333333,99.04166666666667,0.0
2018-01-24,54.958333333333336,14.916666666666666,23.75,14.266666666666666,12.295833333333334,26.55,5.599999999999999,0.92,722.0083333333333,49.291666666666664,13.4475,0.13758333333333334,8.016666666666667,100.20833333333333,0.0
